camera_id,longitude,latitude
Z1-C1,73.7117656533138,19.9837107656918
Z1-C2,73.71268581115484,19.98283433375826
Z1-C3,73.71163987623503,19.98205478353546
Z1-C4,73.71173933735379,19.9826823450905
Z1-C5,73.71347844980347,19.98249601764709
Z1-C6,73.7116236347669,19.98286031627135
Z1-C7,73.71330745322594,19.98257250843313
Z1-C8,73.71292315093275,19.98249802804057
Z1-C9,73.71338156175302,19.98178127102643
Z1-C10,73.71249545900119,19.98320484413881
Z1-C11,73.71187665771225,19.98318416874205
Z1-C12,73.71328521689928,19.98199858167117
Z1-C13,73.71183495919192,19.98270933452398
Z1-C14,73.71237839722669,19.98272148916434
Z1-C15,73.71265324474186,19.98359148651821
Z1-C16,73.71218564706645,19.98249985638019
Z1-C17,73.71205441709265,19.98217694104499
Z1-C18,73.71339339913423,19.98262015174924
Z1-C19,73.71343658494628,19.98194379502273
Z1-C20,73.71229121195354,19.98175539001387
Z1-C21,73.7128850832962,19.98249265741606
Z1-C22,73.7128782110326,19.98208250392456
Z1-C23,73.71262287851363,19.98192905761278
Z1-C24,73.71299172730164,19.98209533363156
Z1-C25,73.71181166880612,19.98277742513226
Z1-C26,73.7126411187684,19.98325782070654
Z1-C27,73.71362396248709,19.98310447732337
Z1-C28,73.7123371664252,19.98285837398981
Z1-C29,73.71178640932033,19.98349943209555
Z1-C30,73.71202330766724,19.9818665357267
Z1-C31,73.71271169884483,19.98172988348014
Z1-C32,73.71201449981463,19.98231611776505
Z1-C33,73.71175373091431,19.9833170078995
Z1-C34,73.7129176884313,19.98183741932619
Z1-C35,73.71343124421865,19.98272878360087
Z1-C36,73.71216043686938,19.98193207160476
Z1-C37,73.71273250148302,19.98245988869297
Z1-C38,73.71242540675891,19.98253945124729
Z1-C39,73.7130345602596,19.98303815803671
Z1-C40,73.71199584768792,19.98200701938065
Z2-C1,73.80542172324245,20.04895412834006
Z2-C2,73.80280860036507,20.04924195592776
Z2-C3,73.80575000524578,20.04974951559931
Z2-C4,73.80303464284633,20.0488500291697
Z2-C5,73.80330022406486,20.04896757642969
Z2-C6,73.80583148508913,20.04914374867577
Z2-C7,73.80583799183891,20.04911821453614
Z2-C8,73.80563422886271,20.04973964532243
Z2-C9,73.80386460799889,20.04862677972201
Z2-C10,73.80494610848005,20.04953683332644
Z2-C11,73.80319575889625,20.04863757779595
Z2-C12,73.80559260467034,20.04928323694227
Z2-C13,73.80282748853753,20.04893893898554
Z2-C14,73.80286629608527,20.04930637938942
Z2-C15,73.80531237903259,20.04990460192451
Z2-C16,73.80366946208463,20.04951755453767
Z2-C17,73.80584741970367,20.04928649047636
Z2-C18,73.80348103194595,20.04939805763822
Z2-C19,73.80565649719328,20.04986929598253
Z2-C20,73.80423322067594,20.04881365851893
Z2-C21,73.80347004111688,20.04875227076688
Z2-C22,73.80550430268342,20.0491957402137
Z2-C23,73.80247386086444,20.04857518240653
Z2-C24,73.80289150023593,20.04883532514782
Z2-C25,73.80242300436186,20.04872992797304
Z2-C26,73.80551533496653,20.04895817575524
Z2-C27,73.80310511497596,20.04937565183491
Z2-C28,73.80474934241462,20.04959007987124
Z2-C29,73.8026832612962,20.048897550017
Z2-C30,73.80360557588448,20.0487529179094
Z2-C31,73.80581566654409,20.04876016557668
Z2-C32,73.80503272678067,20.04999340251636
Z2-C33,73.80399643757826,20.04963723298016
Z2-C34,73.80346844402602,20.04862631225472
Z2-C35,73.80549406505443,20.04939096209374
Z2-C36,73.80439556325983,20.04967645015735
Z2-C37,73.80469087231332,20.0493884127191
Z2-C38,73.8037685268397,20.04849265109668
Z2-C39,73.8043041370513,20.04973991129205
Z2-C40,73.80239201070823,20.04865555319873
Z3-C1,73.80022638611268,20.04785657874794
Z3-C2,73.79962114547837,20.04809792086194
Z3-C3,73.80100202417103,20.04616253516392
Z3-C4,73.80127101793042,20.04709008494507
Z3-C5,73.80144475205847,20.04677845138914
Z3-C6,73.80041813020546,20.0466680775104
Z3-C7,73.80097265066733,20.04792832936218
Z3-C8,73.80226491545994,20.04722003532182
Z3-C9,73.80135805207034,20.04722434270139
Z3-C10,73.80227354451993,20.04749217319734
Z3-C11,73.79968172639683,20.04797147523073
Z3-C12,73.7999996838183,20.04655648856904
Z3-C13,73.8004057908024,20.04715670177142
Z3-C14,73.80217466563211,20.04812807215352
Z3-C15,73.79978845464477,20.04619468324715
Z3-C16,73.80071814531425,20.04761184183263
Z3-C17,73.80184070483182,20.04699875315628
Z3-C18,73.80142698987932,20.04805029905046
Z3-C19,73.80178140109612,20.04712388067444
Z3-C20,73.80076299983548,20.04656556012364
Z3-C21,73.80001065396814,20.0472511867278
Z3-C22,73.80124345489047,20.04754215925318
Z3-C23,73.80120977221759,20.04586238657153
Z3-C24,73.80018470195347,20.04817195854365
Z3-C25,73.79976146516567,20.04599636962502
Z3-C26,73.80039564090087,20.04830063245106
Z3-C27,73.79969833719402,20.04687534786955
Z3-C28,73.8005532326599,20.04828620817657
Z3-C29,73.80092396485088,20.04775249294302
Z3-C30,73.80201572896587,20.0482323125754
Z3-C31,73.80115945450697,20.04590671937476
Z3-C32,73.8012501891399,20.04620726094282
Z3-C33,73.80102351491593,20.04831623632095
Z3-C34,73.80038516681525,20.04650773878786
Z3-C35,73.80057385189025,20.04704087192958
Z3-C36,73.80040581830472,20.04817967209916
Z3-C37,73.80068598109855,20.04772796830904
Z3-C38,73.80166562144213,20.04665503940614
Z3-C39,73.80146418913161,20.04694114487031
Z3-C40,73.79943678487244,20.04639335254922
Z4-C1,73.79533531725096,20.05370321094457
Z4-C2,73.7946834174199,20.053655344976
Z4-C3,73.79896762467065,20.0513323457306
Z4-C4,73.79320309781136,20.05042754261558
Z4-C5,73.79240331016763,20.05387915353572
Z4-C6,73.79280346081872,20.05341704410006
Z4-C7,73.79771055042295,20.05397708304649
Z4-C8,73.79239486943017,20.05366151791788
Z4-C9,73.79912567316963,20.04997589869965
Z4-C10,73.7947090142297,20.04993046270963
Z4-C11,73.79706197947327,20.05446187508877
Z4-C12,73.79733691619057,20.05382631470979
Z4-C13,73.79774520441852,20.04951335741172
Z4-C14,73.79355981334808,20.05396035266759
Z4-C15,73.79430976947779,20.05444982908979
Z4-C16,73.79852031825777,20.05389344717838
Z4-C17,73.79408708175808,20.05082683413876
Z4-C18,73.7976497161334,20.0520058032629
Z4-C19,73.79664673856607,20.0509341907915
Z4-C20,73.79658285283607,20.05262284610638
Z4-C21,73.7908417097406,20.05448284047341
Z4-C22,73.79449593795746,20.05347153807729
Z4-C23,73.79508653388436,20.0525678197072
Z4-C24,73.79879400756342,20.05392878789098
Z4-C25,73.79438844858859,20.05128272518252
Z4-C26,73.79726588944065,20.05415744418878
Z4-C27,73.79765649885513,20.05012900720114
Z4-C28,73.79556887464813,20.05051481817652
Z4-C29,73.79537301371559,20.05068489862666
Z4-C30,73.7935303659455,20.05173126579088
Z4-C31,73.79744747423693,20.05349065561496
Z4-C32,73.79768024533725,20.05200307468636
Z4-C33,73.79677760821261,20.05209637794215
Z4-C34,73.7921829535302,20.05362328547276
Z4-C35,73.79316285436177,20.04967282067959
Z4-C36,73.7922577864358,20.05494879215328
Z4-C37,73.7984978720349,20.05369624153128
Z4-C38,73.79729458930382,20.05016200077539
Z4-C39,73.79830487191742,20.05124201137413
Z4-C40,73.79567205339788,20.05143487913536
Z5-C1,73.71922600851256,19.92836461465719
Z5-C2,73.71939347233139,19.92995412623497
Z5-C3,73.71792404545788,19.9296153615649
Z5-C4,73.71753625857988,19.92975060476192
Z5-C5,73.71743835534404,19.93239265190962
Z5-C6,73.71836419727295,19.92865450072049
Z5-C7,73.71813251114332,19.92825561481414
Z5-C8,73.71786690465554,19.93013933917017
Z5-C9,73.71787152454652,19.93092534616887
Z5-C10,73.71769834997717,19.93022369783949
Z5-C11,73.71919053922298,19.92923308028485
Z5-C12,73.71955408263706,19.92959838044938
Z5-C13,73.71842495768372,19.92789509663131
Z5-C14,73.71889743819463,19.92999715276152
Z5-C15,73.71957714679296,19.92880459675987
Z5-C16,73.71781638131182,19.92937143493254
Z5-C17,73.71735419710473,19.93181084393972
Z5-C18,73.71776785169733,19.92889403533261
Z5-C19,73.71741749577303,19.93244078507078
Z5-C20,73.71816393914513,19.93037692851228
Z5-C21,73.71868461535325,19.93060417171487
Z5-C22,73.7196982254862,19.92879836681133
Z5-C23,73.71723117970653,19.92955748799491
Z5-C24,73.71840323549213,19.93061279567142
Z5-C25,73.7175203518115,19.9293901469567
Z5-C26,73.71901038650158,19.93029348143826
Z5-C27,73.71763435717881,19.93041601555689
Z5-C28,73.71863869821999,19.92854542356682
Z5-C29,73.71779464759189,19.93120210414182
Z5-C30,73.71948874287992,19.93004452510972
Z5-C31,73.71805209322245,19.93100581451158
Z5-C32,73.717640031399,19.93198579841351
Z5-C33,73.71792218343028,19.9293998734925
Z5-C34,73.71751276843108,19.92869347444163
Z5-C35,73.71838376427272,19.92847423487124
Z5-C36,73.71912696200866,19.92889517739665
Z5-C37,73.71858921836159,19.92978065786748
Z5-C38,73.71791594558653,19.92858733371991
Z5-C39,73.71769744688199,19.92870999547118
Z5-C40,73.7199069409187,19.92981434446591
Z6-C1,73.86251551802904,20.00044188721661
Z6-C2,73.8623686528747,20.00026570557181
Z6-C3,73.86119915406151,20.00097434689946
Z6-C4,73.86241368764674,20.00053816802006
Z6-C5,73.86118023523808,20.0015596000572
Z6-C6,73.8648571168424,20.00125719851414
Z6-C7,73.86237836135828,20.00164383465344
Z6-C8,73.86433092026348,20.00111761193191
Z6-C9,73.8644362682891,20.00148160263415
Z6-C10,73.86337048192603,20.00109760329698
Z6-C11,73.86249681846026,19.99983190412278
Z6-C12,73.86332872187073,20.00133834518274
Z6-C13,73.86272690803922,19.99985032612918
Z6-C14,73.86335875547778,20.00062665622987
Z6-C15,73.86322547807211,20.00087216069206
Z6-C16,73.86430420238433,20.00177527367019
Z6-C17,73.86590261394011,20.00057164450836
Z6-C18,73.86528434155122,20.00076221771759
Z6-C19,73.86281591365969,20.00129720284806
Z6-C20,73.86603301800078,20.00014985131975
Z6-C21,73.86557820098486,20.00134120244215
Z6-C22,73.86254744995132,20.00004494637437
Z6-C23,73.86117530748712,20.00107762214107
Z6-C24,73.86496859761526,20.0008457110733
Z6-C25,73.8647172381832,20.00071832076105
Z6-C26,73.86280766629733,20.00022296483102
Z6-C27,73.8640796468124,20.00131394035777
Z6-C28,73.8647108975096,20.00132162599128
Z6-C29,73.86473069824537,20.0015005111932
Z6-C30,73.86365356481105,20.00092456717052
Z6-C31,73.86546671587269,20.00088058130823
Z6-C32,73.86470795591943,20.00075771234614
Z6-C33,73.86274575072476,20.00070523376171
Z6-C34,73.8622147976428,20.00112659882235
Z6-C35,73.8642278328416,20.00161438508307
Z6-C36,73.86506819432398,20.00005168953425
Z6-C37,73.86518913116551,20.00157286526376
Z6-C38,73.86305889938401,20.00104475734928
Z6-C39,73.86562626762566,20.00028517466647
Z6-C40,73.86244777482922,20.00028343705824
Z7-C1,73.88074315733087,20.04883260858922
Z7-C2,73.88334405840763,20.04893040709484
Z7-C3,73.88200737155131,20.05061327205886
Z7-C4,73.8820070591153,20.04905205911719
Z7-C5,73.8818385046694,20.05165622670997
Z7-C6,73.8844463571564,20.05057553674375
Z7-C7,73.88435328862671,20.05135416692149
Z7-C8,73.88102255291304,20.04878704141353
Z7-C9,73.88130894474331,20.05157480556726
Z7-C10,73.88130753145565,20.05042976841559
Z7-C11,73.88211550749784,20.04926529796678
Z7-C12,73.88295905803542,20.05145416743075
Z7-C13,73.88178608632317,20.05210913658665
Z7-C14,73.88452054458821,20.05086952106577
Z7-C15,73.8830395992129,20.04874267207288
Z7-C16,73.88239764192082,20.04881381058375
Z7-C17,73.88274573325441,20.04939238730082
Z7-C18,73.87977759950306,20.05009416736643
Z7-C19,73.88188138136404,20.05041582868603
Z7-C20,73.88279025290241,20.05122217755047
Z7-C21,73.88273845930176,20.05036024361222
Z7-C22,73.88285848950055,20.05037440768674
Z7-C23,73.88193063071677,20.05127302875699
Z7-C24,73.88364658763263,20.05114772721636
Z7-C25,73.88359119604719,20.05089943830792
Z7-C26,73.88262996723785,20.04954046609772
Z7-C27,73.88223823431346,20.05272227069089
Z7-C28,73.88116810001137,20.05004237482364
Z7-C29,73.88426338425359,20.05121457750578
Z7-C30,73.8841302222632,20.04973296338183
Z7-C31,73.88289556417962,20.04925392683799
Z7-C32,73.8845735072003,20.05020803671649
Z7-C33,73.88198107179103,20.05100463831235
Z7-C34,73.88441636650808,20.05019577408459
Z7-C35,73.88313575106615,20.05053843401731
Z7-C36,73.88319607524826,20.05053654503992
Z7-C37,73.88195350358403,20.0502406336456
Z7-C38,73.88221848016053,20.05171289176825
Z7-C39,73.88311545813286,20.05124039254478
Z7-C40,73.88168476190162,20.0508256776497
Z8-C1,73.86418938634,19.99914176996406
Z8-C2,73.86511152381343,19.99964205732617
Z8-C3,73.86570489405577,19.99903303541891
Z8-C4,73.86445819495223,19.99815784616768
